gula_delivery | id_gula_del | int
gula_delivery | tanggal | date
gula_delivery | delivery_gkm | decimal
gula_delivery | delivery_gkb | decimal
gula_delivery | actual_delivery | decimal
gula_delivery | plan_delivery | decimal
gula_delivery | tonage_container | decimal
gula_delivery | jml_truck | int
gula_delivery | id_gudang_luar | int
gula_delivery | nama_gudang_luar | varchar
gula_delivery | actual_gudang_luar | decimal
gula_delivery | created_at | timestamp
gula_penerimaan | id_gula_rcv | int
gula_penerimaan | tanggal | date
gula_penerimaan | shift | tinyint
gula_penerimaan | gkm_crushing | decimal
gula_penerimaan | gkm_melting | decimal
gula_penerimaan | gkb_crushing | decimal
gula_penerimaan | gkb_melting | decimal
gula_penerimaan | created_at | timestamp
gula_reject_log | id_reject_log | int
gula_reject_log | tanggal | date
gula_reject_log | shift | tinyint
gula_reject_log | kategori_transaksi | varchar
gula_reject_log | jenis_gula | varchar
gula_reject_log | bahan | varchar
gula_reject_log | jenis_reject | varchar
gula_reject_log | jumlah_kg | decimal
gula_reject_log | keterangan | text
gula_reject_log | created_at | timestamp
gula_stok | id_stok_gula | int
gula_stok | tanggal | date
gula_stok | stok_awal_gkm | decimal
gula_stok | stok_awal_gkb | decimal
gula_stok | stok_akhir_gkm | decimal
gula_stok | stok_akhir_gkb | decimal
gula_stok | stok_akhir_reject | decimal
gula_stok | updated_at | timestamp
mol_delivery | id_delivery | int
mol_delivery | tanggal | date
mol_delivery | plan_delivery | decimal
mol_delivery | actual_tank_a | decimal
mol_delivery | actual_tank_b | decimal
mol_delivery | jml_truck | int
mol_delivery | next_schedule | decimal
mol_delivery | created_at | timestamp
mol_penerimaan | id_penerimaan | int
mol_penerimaan | tanggal | date
mol_penerimaan | shift | tinyint
mol_penerimaan | raw_sugar | decimal
mol_penerimaan | cane_tebu | decimal
mol_penerimaan | tangki_tujuan | enum
mol_penerimaan | created_at | timestamp
mol_stok_tangki | id_stok | int
mol_stok_tangki | tanggal | date
mol_stok_tangki | stok_awal_tanka | decimal
mol_stok_tangki | stok_awal_tankb | decimal
mol_stok_tangki | stok_akhir_tanka | decimal
mol_stok_tangki | stok_akhir_tankb | decimal
mol_stok_tangki | updated_at | timestamp
